HMDB_ID	NAME	GENE_NAME
HMDB0000058	Cyclic AMP	SLC4A7
HMDB0000058	Cyclic AMP	ABCC4
HMDB0000058	Cyclic AMP	ABCC5
HMDB0000058	Cyclic AMP	SLC22A6
HMDB0000058	Cyclic AMP	ABCC11
HMDB0000058	Cyclic AMP	SLCO4C1
HMDB0000058	Cyclic AMP	SLC22A7
HMDB0000761	Lithocholic acid	SLCO1B3
HMDB0000761	Lithocholic acid	SLCO1B1
HMDB0000761	Lithocholic acid	ABCC3
HMDB0000761	Lithocholic acid	ABCB11
HMDB0000761	Lithocholic acid	SLC10A2
HMDB0000761	Lithocholic acid	SLC10A1
HMDB0000761	Lithocholic acid	SLCO1A2
HMDB0000761	Lithocholic acid	SLCO4A1
HMDB0000619	Cholic acid	SLCO1B3
HMDB0000619	Cholic acid	SLCO1B1
HMDB0000619	Cholic acid	ABCC2
HMDB0000619	Cholic acid	ABCC1
HMDB0000619	Cholic acid	ABCC3
HMDB0000619	Cholic acid	ABCB11
HMDB0000619	Cholic acid	ABCB1
HMDB0000619	Cholic acid	SLC10A2
HMDB0000619	Cholic acid	SLC10A1
HMDB0000619	Cholic acid	SLCO1A2
HMDB0000619	Cholic acid	SLCO4A1
HMDB0000619	Cholic acid	ABCC4
HMDB0000619	Cholic acid	SLC22A7
HMDB0000626	Deoxycholic acid	SLCO1B3
HMDB0000626	Deoxycholic acid	SLCO1B1
HMDB0000626	Deoxycholic acid	ABCC3
HMDB0000626	Deoxycholic acid	ABCB11
HMDB0000626	Deoxycholic acid	SLC10A2
HMDB0000626	Deoxycholic acid	SLC10A1
HMDB0000626	Deoxycholic acid	SLCO1A2
HMDB0000626	Deoxycholic acid	SLCO4A1
HMDB0001198	Leukotriene C4	ABCC1
HMDB0000464	Calcium	CUBN
HMDB0000464	Calcium	SLC22A6
HMDB0000657	Copper	ATP7B
HMDB0000657	Copper	ATP7A
HMDB0000657	Copper	SLC31A1
HMDB0000657	Copper	SLC31A2
