HMDB.ID	Metabolite.name	Receptor_gene.ID	Receptor_symbol
HMDB0001361	Carbon monoxide	54195	Gucy1b1
HMDB0001361	Carbon monoxide	234889	Gucy1a2
HMDB0001361	Carbon monoxide	60596	Gucy1a1
HMDB0001388	alpha-Linolenic acid	26459	Slc27a5
HMDB0001389	Melatonin	244701	Mtnr1b
HMDB0001389	Melatonin	17773	Mtnr1a
HMDB0001396	5-Methyltetrahydrofolic acid	14275	Folr1
HMDB0001403	Prostaglandin D2	19220	Ptgfr
HMDB0001403	Prostaglandin D2	19218	Ptger3
HMDB0001403	Prostaglandin D2	14764	Ptgdr2
HMDB0001403	Prostaglandin D2	19214	Ptgdr
HMDB0001414	Putrescine	30805	Slc22a4
HMDB0001414	Putrescine	16518	Kcnj2
HMDB0001429	Phosphate	20516	Slc20a2
HMDB0001452	Thromboxane A2	21390	Tbxa2r
HMDB0001457	5beta-Cholestane-3alpha,7alpha,12alpha-triol	18171	Nr1i2
HMDB0001514	Glucosamine	20528	Slc2a4
HMDB0001514	Glucosamine	20526	Slc2a2
HMDB0001514	Glucosamine	20525	Slc2a1
HMDB0001547	Corticosterone	14815	Nr3c1
HMDB0001830	Progesterone	18667	Pgr
HMDB0001847	Caffeine	11541	Adora2b
HMDB0001852	all-trans-Retinoic acid	20183	Rxrg
HMDB0001852	all-trans-Retinoic acid	20182	Rxrb
HMDB0001852	all-trans-Retinoic acid	20181	Rxra
HMDB0001852	all-trans-Retinoic acid	19401	Rara
HMDB0001889	Theophylline	11541	Adora2b
HMDB0001903	Calcitriol	22337	Vdr
HMDB0001999	Eicosapentaenoic acid	107221	Ffar4
HMDB0002103	27-Hydroxycholesterol	13982	Esr1
HMDB0002183	Docosahexaenoic acid	20181	Rxra
HMDB0002183	Docosahexaenoic acid	107221	Ffar4
HMDB0002190	5,6-Epoxy-8,11,14-eicosatrienoic acid	63873	Trpv4
HMDB0002369	9-cis-Retinoic acid	22337	Vdr
HMDB0002369	9-cis-Retinoic acid	20183	Rxrg
HMDB0002369	9-cis-Retinoic acid	20182	Rxrb
HMDB0002369	9-cis-Retinoic acid	20181	Rxra
HMDB0002719	Desmosterol	381463	Nr1h5
HMDB0002925	Dihomo-gamma-linolenic acid	26459	Slc27a5
HMDB0002961	Dihydrotestosterone	14652	Glp1r
HMDB0002961	Dihydrotestosterone	11835	Ar
HMDB0003073	gamma-Linolenic acid	26459	Slc27a5
HMDB0003080	Leukotriene D4	574402	Gpr17
HMDB0003125	Hydrogen peroxide	28240	Trpm2
HMDB0003125	Hydrogen peroxide	277328	Trpa1
HMDB0003178	Heme	64177	Trpv6
HMDB0003178	Heme	21898	Tlr4
HMDB0003178	Heme	52466	Slc46a1
HMDB0003178	Heme	353187	Nr1d2
HMDB0003178	Heme	217166	Nr1d1
HMDB0003178	Heme	16971	Lrp1
HMDB0003276	Hydrogen sulfide	12491	Cd36
HMDB0003378	Nitric oxide	239134	Gucy1b2
HMDB0003378	Nitric oxide	54195	Gucy1b1
HMDB0003378	Nitric oxide	234889	Gucy1a2
HMDB0003378	Nitric oxide	60596	Gucy1a1
HMDB0003550	Calcidiol	22337	Vdr
HMDB0003550	Calcidiol	14725	Lrp2
HMDB0003550	Calcidiol	14473	Gc
HMDB0003550	Calcidiol	65969	Cubn
HMDB0004080	Anandamide	193034	Trpv1
HMDB0004080	Anandamide	12802	Cnr2
HMDB0004080	Anandamide	12936	Cnr1
HMDB0004472	Eucalyptol	171382	Trpm8
HMDB0006216	11-cis-Retinol	11819	Nr2f2
HMDB0006219	13-cis-Retinoic acid	20183	Rxrg
HMDB0006219	13-cis-Retinoic acid	20182	Rxrb
HMDB0006219	13-cis-Retinoic acid	20181	Rxra
HMDB0006247	25-Hydroxycholesterol	22259	Nr1h3
HMDB0006247	25-Hydroxycholesterol	13982	Esr1
HMDB0006247	25-Hydroxycholesterol	11303	Abca1
HMDB0012275	Phenylethylamine	209513	Taar4
HMDB0012275	Phenylethylamine	111174	Taar1
HMDB0014372	Lovastatin	15357	Hmgcr
HMDB0014400	Diethylstilbestrol	26379	Esrra
HMDB0015044	Quinidine	16532	Kcnu1
HMDB0015330	Tubocurarine	15561	Htr3a
HMDB0015360	Paclitaxel	21898	Tlr4
HMDB0015531	Iron	22042	Tfrc
HMDB0015531	Iron	50765	Tfr2
HMDB0015531	Iron	53945	Slc40a1
HMDB0015531	Iron	18174	Slc11a2
